question,subject
What are merits of PPP over SLIP? Explain. Contrast between bridge and switch?,Computer Network
Explain different types of HDLC frames you know. Describe the mechanism of CSMA/CD with suitable diagrams.,Computer Network
How IPV4 is classified into different classes? Explain. Mention benefits of IPV6 over IPV4.,Computer Network
"Why subnetting is important?  A college is planning to design 6 different sub-networks, and own an IP address 199.27.16.0. Show how subnetting can be done in this case.",Computer Network
What are datagram and virtual circuits? Explain about distance vector routing algorithm.,Computer Network
"What is the job of DNS? For what purposes FTP, SMTP and HTTP are used, discuss",Computer Network
"Write short notes on any two: Cryptography, Types of Sockets, ATM reference Model",Computer Network
Define Computer graphics. Discuss the major application areas of computer graphics.,Computer Graphics
Define resolution & persistence. What is the difference between raster scan display and vector scan display?,Computer Graphics
Consider two raster systems with resolutions of 640 by 840 and 1280 by 1024. How many pixels could be accessed per second in each of these systems by a display controller that refreshes the screen at a rate of 60 frames per second? What is the access time per pixel in each system?,Computer Graphics
Describe how color pixel is displayed in a computer system?,Computer Graphics
Derive an equation for calculating points of a circle using mid-point algorithm.,Computer Graphics
Write a Code for drawing a full circle points.,Computer Graphics
Explain the 2D viewing pipeline along with the derivation for the window to viewport transformation.,Computer Graphics
Why we need machine independent graphical language? Explain briefly about any two of the graphical file formats.,Computer Graphics
What is meant by surface rendering? Explain the Gouraud Shading method for surface rendering.,Computer Graphics
What is projection? Derive the expression and matrix representation for perspective projection.,Computer Graphics
Write Z-buffer algorithm for detecting visible surface with its drawback & remedy.,Computer Graphics
What is the significance of making plans for a project? What things should be considered during the project development?,Computer Graphics
"Write short ntoes on: (Any two) Touch Screen, Homogeneous Co-ordinates, 3D Viewing Pipeline",Computer Graphics
What is project life cycle? Explain the activities done in implementation phase of the project cycle.,Construction Project management
What do you mean by scheduling? Explain the importance of scheduling in project planning.,Construction Project management
Explain characteristics of critical path in network diagram.,Construction Project management
Explain the project control cycle,Construction Project management
"Draw a net work diagram for the following project from the information given below and find:  Project completion time, critical path, critical activities and EST,LST,EFT,LFT, and TF.",Construction Project management
Why regular monitoring and evaluation is so important during the construction phase of the project.,Construction Project management
What do you mean by Earned Value Analysis [ EVA]? Explain the importance of EVA in cost control of the construction project.,Construction Project management
